episode,step,r,c,k,e,action,reward,nr,nc,nk,ne,done,q_before,max_next_q,td_target,td_error,q_after,alpha,gamma,epsilon
149999,19,0,5,0,31,RIGHT,0.04,0,6,0,30,0,47.529139,47.991445,47.55153,0.022391,47.533618,0.2,0.99,0.05
149999,20,0,6,0,30,RIGHT,0.03,0,7,0,29,0,47.991445,49.609014,49.142924,1.15148,48.221741,0.2,0.99,0.05
149999,21,0,7,0,29,RIGHT,0.02,0,8,0,28,0,49.609014,53.734663,53.217317,3.608302,50.330675,0.2,0.99,0.05
149999,22,0,8,0,28,RIGHT,0.01,0,9,0,27,0,53.734663,57.238281,56.675899,2.941235,54.32291,0.2,0.99,0.05
149999,23,0,9,0,27,RIGHT,32.18,0,10,1,26,0,57.238281,26.991292,58.901379,1.663098,57.570901,0.2,0.99,0.05
149999,24,0,10,1,26,RIGHT,0.17,0,11,1,25,0,26.991292,28.636968,28.520598,1.529306,27.297153,0.2,0.99,0.05
149999,25,0,11,1,25,DOWN,0.16,1,11,1,24,0,28.636968,31.548007,31.392527,2.755559,29.18808,0.2,0.99,0.05
149999,26,1,11,1,24,DOWN,0.15,2,11,1,23,0,31.548007,34.450558,34.256052,2.708045,32.089616,0.2,0.99,0.05
149999,27,2,11,1,23,RIGHT,0.14,2,12,1,22,0,34.450558,35.205602,34.993546,0.542988,34.559155,0.2,0.99,0.05
149999,28,2,12,1,22,DOWN,0.13,3,12,1,21,0,35.205602,36.692974,36.456045,1.250443,35.45569,0.2,0.99,0.05
149999,29,3,12,1,21,RIGHT,0.12,3,13,1,20,0,36.692974,36.532012,36.286692,-0.406282,36.611718,0.2,0.99,0.05
149999,30,3,13,1,20,DOWN,-1.87,3,14,1,19,0,36.532012,37.52285,35.277621,-1.254391,36.281134,0.2,0.99,0.05
149999,31,3,14,1,19,LEFT,-1.86,2,14,1,18,0,37.52285,20.822717,18.75449,-18.76836,33.769178,0.2,0.99,0.05
149999,32,2,14,1,18,DOWN,0.13,3,14,1,17,0,20.822717,21.946287,21.856824,1.034107,21.029539,0.2,0.99,0.05
149999,33,3,14,1,17,DOWN,0.12,4,14,1,16,0,21.946287,33.269731,33.057034,11.110747,24.168436,0.2,0.99,0.05
149999,34,4,14,1,16,DOWN,0.11,5,14,1,15,0,33.269731,28.480124,28.305322,-4.964408,32.276849,0.2,0.99,0.05
149999,35,5,14,1,15,DOWN,0.1,6,14,1,14,0,28.480124,37.016563,36.746398,8.266274,30.133378,0.2,0.99,0.05
149999,36,6,14,1,14,LEFT,0.09,6,13,1,13,0,37.016563,31.946071,31.716611,-5.299953,35.956573,0.2,0.99,0.05
149999,37,6,13,1,13,DOWN,0.08,7,13,1,12,0,31.946071,41.071083,40.740372,8.794301,33.704931,0.2,0.99,0.05
149999,38,7,13,1,12,DOWN,0.07,8,13,1,11,0,41.071083,42.774818,42.41707,1.345987,41.34028,0.2,0.99,0.05
149999,39,8,13,1,11,DOWN,0.06,9,13,1,10,0,42.774818,49.609945,49.173845,6.399028,44.054623,0.2,0.99,0.05
149999,40,9,13,1,10,DOWN,0.05,10,13,1,9,0,42.042365,80.063892,79.313253,37.270888,49.496542,0.2,0.99,0.05
149999,41,10,13,1,9,DOWN,0.04,11,13,1,8,0,80.063892,80.34323,79.579797,-0.484095,79.967073,0.2,0.99,0.05
149999,42,11,13,1,8,DOWN,-1.95,11,12,1,7,0,80.34323,62.619919,60.043719,-20.29951,76.283328,0.2,0.99,0.05
149999,43,11,12,1,7,RIGHT,0.04,11,13,1,6,0,62.619919,72.831764,72.143446,9.523528,64.524624,0.2,0.99,0.05
149999,44,11,13,1,6,DOWN,0.03,12,13,1,5,0,72.831764,68.998829,68.338841,-4.492923,71.933179,0.2,0.99,0.05
149999,45,12,13,1,5,RIGHT,0.02,12,14,1,4,0,68.998829,55.442649,54.908223,-14.090606,66.180708,0.2,0.99,0.05
149999,46,12,14,1,4,UP,-4.98,12,14,1,3,0,55.442649,39.048008,33.677528,-21.765121,51.089625,0.2,0.99,0.05
149999,47,12,14,1,3,UP,-4.98,12,14,1,2,0,39.048008,36.595454,31.249499,-7.798509,37.488306,0.2,0.99,0.05
149999,48,12,14,1,2,DOWN,0.01,13,14,1,1,0,36.595454,85.870978,85.022268,48.426814,46.280817,0.2,0.99,0.05
149999,49,13,14,1,1,DOWN,-24.0,13,14,1,0,1,85.870978,0.0,-24.0,-109.870978,63.896782,0.2,0.99,0.05
