episode,step,r,c,k,e,action,reward,nr,nc,nk,ne,done,q_before,max_next_q,td_target,td_error,q_after,alpha,gamma,epsilon
149999,7,2,1,0,43,RIGHT,-1.0,2,2,0,42,0,33.584825,35.331675,33.978359,0.393534,33.663531,0.2,0.99,0.05
149999,8,2,2,0,42,RIGHT,-1.0,2,3,0,41,0,35.331675,37.088031,35.717151,0.385475,35.40877,0.2,0.99,0.05
149999,9,2,3,0,41,UP,-1.0,1,3,0,40,0,37.088031,38.583066,37.197235,0.109204,37.109872,0.2,0.99,0.05
149999,10,1,3,0,40,RIGHT,-1.0,1,4,0,39,0,38.583066,41.569293,40.1536,1.570534,38.897173,0.2,0.99,0.05
149999,11,1,4,0,39,RIGHT,-1.0,1,5,0,38,0,41.569293,45.493848,44.038909,2.469616,42.063216,0.2,0.99,0.05
149999,12,1,5,0,38,UP,-1.0,0,5,0,37,0,45.493848,47.373485,45.899751,0.405903,45.575028,0.2,0.99,0.05
149999,13,0,5,0,37,RIGHT,-5.0,0,5,0,36,0,47.373485,46.398847,40.934858,-6.438627,46.08576,0.2,0.99,0.05
149999,14,0,5,0,36,RIGHT,-5.0,0,5,0,35,0,46.398847,49.844865,44.346417,-2.05243,45.988361,0.2,0.99,0.05
149999,15,0,5,0,35,RIGHT,-1.0,1,5,0,34,0,49.844865,49.275889,47.78313,-2.061735,49.432518,0.2,0.99,0.05
149999,16,1,5,0,34,RIGHT,-1.0,1,6,0,33,0,49.275889,52.004216,50.484174,1.208285,49.517546,0.2,0.99,0.05
149999,17,1,6,0,33,UP,-1.0,1,7,0,32,0,52.004216,54.759871,53.212272,1.208056,52.245827,0.2,0.99,0.05
149999,18,1,7,0,32,UP,-1.0,1,6,0,31,0,54.759871,49.416611,47.922445,-6.837426,53.392386,0.2,0.99,0.05
149999,19,1,6,0,31,RIGHT,-1.0,1,7,0,30,0,49.416611,48.602111,47.11609,-2.300521,48.956507,0.2,0.99,0.05
149999,20,1,7,0,30,RIGHT,-1.0,1,8,0,29,0,48.602111,51.312704,49.799577,1.197466,48.841604,0.2,0.99,0.05
149999,21,1,8,0,29,UP,-1.0,0,8,0,28,0,51.312704,57.101073,55.530062,4.217358,52.156176,0.2,0.99,0.05
