episode,epsilon,total_reward,steps,success,wall_hits,penalty_entries,key_obtained,energy_left,end_event
220,0.05,88.0,49,1,1,1,1,1,GOAL_REACHED
221,0.05,86.0,48,1,4,0,1,2,GOAL_REACHED
222,0.05,-44.0,50,0,6,0,1,0,ENERGY_DEPLETED
223,0.05,81.0,49,1,5,0,1,1,GOAL_REACHED
224,0.05,-28.0,50,0,2,0,1,0,ENERGY_DEPLETED
225,0.05,83.0,47,1,5,0,1,3,GOAL_REACHED
226,0.05,-37.0,50,0,2,1,1,0,ENERGY_DEPLETED
227,0.05,-20.0,50,0,0,0,1,0,ENERGY_DEPLETED
228,0.05,96.0,46,1,2,0,1,4,GOAL_REACHED
229,0.05,80.0,46,1,6,0,1,4,GOAL_REACHED
230,0.05,-36.0,50,0,4,0,1,0,ENERGY_DEPLETED
231,0.05,88.0,46,1,4,0,1,4,GOAL_REACHED
232,0.05,89.0,49,1,3,0,1,1,GOAL_REACHED
233,0.05,102.0,48,1,0,0,1,2,GOAL_REACHED
234,0.05,98.0,44,1,2,0,1,6,GOAL_REACHED
235,0.05,-48.0,50,0,7,0,1,0,ENERGY_DEPLETED
236,0.05,-58.0,50,0,5,2,1,0,ENERGY_DEPLETED
237,0.05,-60.0,50,0,10,0,1,0,ENERGY_DEPLETED
238,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
239,0.05,80.0,46,1,6,0,1,4,GOAL_REACHED
240,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
241,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
242,0.05,-40.0,50,0,5,0,1,0,ENERGY_DEPLETED
243,0.05,89.0,49,1,3,0,1,1,GOAL_REACHED
244,0.05,81.0,49,1,5,0,1,1,GOAL_REACHED
245,0.05,91.0,47,1,3,0,1,3,GOAL_REACHED
246,0.05,75.0,47,1,7,0,1,3,GOAL_REACHED
247,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
248,0.05,91.0,47,1,3,0,1,3,GOAL_REACHED
249,0.05,-41.0,50,0,3,1,1,0,ENERGY_DEPLETED
250,0.05,-36.0,50,0,4,0,1,0,ENERGY_DEPLETED
251,0.05,71.0,46,1,6,1,1,4,GOAL_REACHED
252,0.05,80.0,49,1,3,1,1,1,GOAL_REACHED
253,0.05,-24.0,50,0,1,0,1,0,ENERGY_DEPLETED
254,0.05,84.0,50,1,4,0,1,0,GOAL_REACHED
255,0.05,-45.0,50,0,4,1,1,0,ENERGY_DEPLETED
256,0.05,-48.0,50,0,7,0,1,0,ENERGY_DEPLETED
257,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
258,0.05,-52.0,50,0,8,0,1,0,ENERGY_DEPLETED
259,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
260,0.05,89.0,49,1,3,0,1,1,GOAL_REACHED
261,0.05,88.0,46,1,4,0,1,4,GOAL_REACHED
262,0.05,84.0,50,1,4,0,1,0,GOAL_REACHED
263,0.05,88.0,46,1,4,0,1,4,GOAL_REACHED
264,0.05,86.0,48,1,4,0,1,2,GOAL_REACHED
265,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
266,0.05,81.0,49,1,5,0,1,1,GOAL_REACHED
267,0.05,-24.0,50,0,1,0,1,0,ENERGY_DEPLETED
268,0.05,-33.0,50,0,0,1,1,0,ENERGY_DEPLETED
269,0.05,91.0,47,1,3,0,1,3,GOAL_REACHED
270,0.05,88.0,46,1,4,0,1,4,GOAL_REACHED
