episode,step,row,col,key,energy,intended_action,effective_action,next_row,next_col,next_key,next_energy,reward,event,done
2,36,1,0,0,14,RIGHT,UP,0,0,0,13,-1.0,MOVE,0
2,37,0,0,0,13,UP,UP,0,0,0,12,-5.0,WALL_HIT,0
2,38,0,0,0,12,RIGHT,RIGHT,0,1,0,11,-1.0,MOVE,0
2,39,0,1,0,11,RIGHT,RIGHT,0,2,0,10,-1.0,MOVE,0
2,40,0,2,0,10,DOWN,DOWN,0,2,0,9,-5.0,WALL_HIT,0
2,41,0,2,0,9,UP,UP,0,2,0,8,-5.0,WALL_HIT,0
2,42,0,2,0,8,DOWN,DOWN,0,2,0,7,-5.0,WALL_HIT,0
2,43,0,2,0,7,UP,UP,0,2,0,6,-5.0,WALL_HIT,0
2,44,0,2,0,6,LEFT,LEFT,0,1,0,5,-1.0,MOVE,0
2,45,0,1,0,5,DOWN,LEFT,0,0,0,4,-1.0,MOVE,0
2,46,0,0,0,4,UP,UP,0,0,0,3,-5.0,WALL_HIT,0
2,47,0,0,0,3,RIGHT,DOWN,1,0,0,2,-1.0,MOVE,0
2,48,1,0,0,2,RIGHT,RIGHT,1,1,0,1,-1.0,MOVE,0
2,49,1,1,0,1,LEFT,DOWN,2,1,0,0,-21.0,ENERGY_DEPLETED,1
3,0,0,0,0,50,RIGHT,RIGHT,0,1,0,49,-1.0,MOVE,0
3,1,0,1,0,49,LEFT,LEFT,0,0,0,48,-1.0,MOVE,0
3,2,0,0,0,48,UP,UP,0,0,0,47,-5.0,WALL_HIT,0
3,3,0,0,0,47,UP,UP,0,0,0,46,-5.0,WALL_HIT,0
3,4,0,0,0,46,DOWN,DOWN,1,0,0,45,-1.0,MOVE,0
3,5,1,0,0,45,UP,UP,0,0,0,44,-1.0,MOVE,0
3,6,0,0,0,44,LEFT,LEFT,0,0,0,43,-5.0,WALL_HIT,0
3,7,0,0,0,43,DOWN,LEFT,0,0,0,42,-5.0,WALL_HIT,0
3,8,0,0,0,42,UP,UP,0,0,0,41,-5.0,WALL_HIT,0
3,9,0,0,0,41,RIGHT,RIGHT,0,1,0,40,-1.0,MOVE,0
3,10,0,1,0,40,RIGHT,RIGHT,0,2,0,39,-1.0,MOVE,0
3,11,0,2,0,39,DOWN,DOWN,0,2,0,38,-5.0,WALL_HIT,0
3,12,0,2,0,38,LEFT,LEFT,0,1,0,37,-1.0,MOVE,0
3,13,0,1,0,37,LEFT,LEFT,0,0,0,36,-1.0,MOVE,0
3,14,0,0,0,36,RIGHT,RIGHT,0,1,0,35,-1.0,MOVE,0
3,15,0,1,0,35,DOWN,DOWN,1,1,0,34,-1.0,MOVE,0
3,16,1,1,0,34,UP,LEFT,1,0,0,33,-1.0,MOVE,0
3,17,1,0,0,33,UP,UP,0,0,0,32,-1.0,MOVE,0
3,18,0,0,0,32,RIGHT,RIGHT,0,1,0,31,-1.0,MOVE,0
3,19,0,1,0,31,UP,UP,0,1,0,30,-5.0,WALL_HIT,0
3,20,0,1,0,30,DOWN,DOWN,1,1,0,29,-1.0,MOVE,0
3,21,1,1,0,29,RIGHT,RIGHT,1,1,0,28,-5.0,WALL_HIT,0
3,22,1,1,0,28,DOWN,DOWN,2,1,0,27,-1.0,MOVE,0
3,23,2,1,0,27,DOWN,DOWN,3,1,0,26,-1.0,MOVE,0
3,24,3,1,0,26,LEFT,LEFT,3,1,0,25,-5.0,WALL_HIT,0
3,25,3,1,0,25,UP,UP,2,1,0,24,-1.0,MOVE,0
3,26,2,1,0,24,LEFT,LEFT,2,0,0,23,-1.0,MOVE,0
3,27,2,0,0,23,DOWN,DOWN,2,0,0,22,-5.0,WALL_HIT,0
3,28,2,0,0,22,UP,RIGHT,2,1,0,21,-1.0,MOVE,0
3,29,2,1,0,21,LEFT,LEFT,2,0,0,20,-1.0,MOVE,0
3,30,2,0,0,20,DOWN,DOWN,2,0,0,19,-5.0,WALL_HIT,0
3,31,2,0,0,19,DOWN,DOWN,2,0,0,18,-5.0,WALL_HIT,0
3,32,2,0,0,18,RIGHT,RIGHT,2,1,0,17,-1.0,MOVE,0
3,33,2,1,0,17,UP,RIGHT,2,2,0,16,-1.0,MOVE,0
3,34,2,2,0,16,LEFT,DOWN,3,2,0,15,-1.0,MOVE,0
3,35,3,2,0,15,UP,UP,2,2,0,14,-1.0,MOVE,0
3,36,2,2,0,14,RIGHT,RIGHT,2,3,0,13,-1.0,MOVE,0
3,37,2,3,0,13,RIGHT,RIGHT,2,3,0,12,-5.0,WALL_HIT,0
3,38,2,3,0,12,DOWN,DOWN,3,3,0,11,-1.0,MOVE,0
3,39,3,3,0,11,DOWN,DOWN,4,3,0,10,-1.0,MOVE,0
3,40,4,3,0,10,UP,UP,3,3,0,9,-1.0,MOVE,0
3,41,3,3,0,9,LEFT,LEFT,3,2,0,8,-1.0,MOVE,0
3,42,3,2,0,8,RIGHT,RIGHT,3,3,0,7,-1.0,MOVE,0
3,43,3,3,0,7,DOWN,DOWN,4,3,0,6,-1.0,MOVE,0
3,44,4,3,0,6,UP,UP,3,3,0,5,-1.0,MOVE,0
3,45,3,3,0,5,LEFT,LEFT,3,2,0,4,-1.0,MOVE,0
3,46,3,2,0,4,DOWN,DOWN,4,2,0,3,-1.0,MOVE,0
3,47,4,2,0,3,DOWN,RIGHT,4,3,0,2,-1.0,MOVE,0
3,48,4,3,0,2,LEFT,LEFT,4,2,0,1,-1.0,MOVE,0
3,49,4,2,0,1,DOWN,DOWN,5,2,0,0,-21.0,ENERGY_DEPLETED,1
4,0,0,0,0,50,RIGHT,RIGHT,0,1,0,49,-1.0,MOVE,0
4,1,0,1,0,49,RIGHT,DOWN,1,1,0,48,-1.0,MOVE,0
4,2,1,1,0,48,DOWN,DOWN,2,1,0,47,-1.0,MOVE,0
4,3,2,1,0,47,UP,UP,1,1,0,46,-1.0,MOVE,0
4,4,1,1,0,46,DOWN,DOWN,2,1,0,45,-1.0,MOVE,0
4,5,2,1,0,45,DOWN,DOWN,3,1,0,44,-1.0,MOVE,0
4,6,3,1,0,44,RIGHT,RIGHT,3,2,0,43,-1.0,MOVE,0
4,7,3,2,0,43,DOWN,DOWN,4,2,0,42,-1.0,MOVE,0
4,8,4,2,0,42,UP,UP,3,2,0,41,-1.0,MOVE,0
4,9,3,2,0,41,RIGHT,RIGHT,3,3,0,40,-1.0,MOVE,0
4,10,3,3,0,40,RIGHT,RIGHT,3,3,0,39,-5.0,WALL_HIT,0
4,11,3,3,0,39,DOWN,LEFT,3,2,0,38,-1.0,MOVE,0
4,12,3,2,0,38,UP,UP,2,2,0,37,-1.0,MOVE,0
4,13,2,2,0,37,RIGHT,RIGHT,2,3,0,36,-1.0,MOVE,0
4,14,2,3,0,36,LEFT,LEFT,2,2,0,35,-1.0,MOVE,0
4,15,2,2,0,35,LEFT,LEFT,2,1,0,34,-1.0,MOVE,0
4,16,2,1,0,34,DOWN,LEFT,2,0,0,33,-1.0,MOVE,0
4,17,2,0,0,33,RIGHT,RIGHT,2,1,0,32,-1.0,MOVE,0
4,18,2,1,0,32,UP,UP,1,1,0,31,-1.0,MOVE,0
4,19,1,1,0,31,UP,UP,0,1,0,30,-1.0,MOVE,0
4,20,0,1,0,30,UP,UP,0,1,0,29,-5.0,WALL_HIT,0
4,21,0,1,0,29,LEFT,LEFT,0,0,0,28,-1.0,MOVE,0
4,22,0,0,0,28,DOWN,DOWN,1,0,0,27,-1.0,MOVE,0
4,23,1,0,0,27,RIGHT,RIGHT,1,1,0,26,-1.0,MOVE,0
4,24,1,1,0,26,LEFT,LEFT,1,0,0,25,-1.0,MOVE,0
4,25,1,0,0,25,LEFT,DOWN,2,0,0,24,-1.0,MOVE,0
4,26,2,0,0,24,DOWN,DOWN,2,0,0,23,-5.0,WALL_HIT,0
4,27,2,0,0,23,UP,UP,1,0,0,22,-1.0,MOVE,0
4,28,1,0,0,22,DOWN,DOWN,2,0,0,21,-1.0,MOVE,0
4,29,2,0,0,21,DOWN,LEFT,2,0,0,20,-5.0,WALL_HIT,0
4,30,2,0,0,20,RIGHT,RIGHT,2,1,0,19,-1.0,MOVE,0
4,31,2,1,0,19,UP,UP,1,1,0,18,-1.0,MOVE,0
4,32,1,1,0,18,RIGHT,RIGHT,1,1,0,17,-5.0,WALL_HIT,0
4,33,1,1,0,17,DOWN,DOWN,2,1,0,16,-1.0,MOVE,0
4,34,2,1,0,16,DOWN,DOWN,3,1,0,15,-1.0,MOVE,0
4,35,3,1,0,15,RIGHT,RIGHT,3,2,0,14,-1.0,MOVE,0
4,36,3,2,0,14,DOWN,DOWN,4,2,0,13,-1.0,MOVE,0
4,37,4,2,0,13,LEFT,LEFT,4,2,0,12,-5.0,WALL_HIT,0
4,38,4,2,0,12,RIGHT,RIGHT,4,3,0,11,-1.0,MOVE,0
4,39,4,3,0,11,LEFT,LEFT,4,2,0,10,-1.0,MOVE,0
4,40,4,2,0,10,LEFT,LEFT,4,2,0,9,-5.0,WALL_HIT,0
4,41,4,2,0,9,RIGHT,RIGHT,4,3,0,8,-1.0,MOVE,0
4,42,4,3,0,8,UP,UP,3,3,0,7,-1.0,MOVE,0
4,43,3,3,0,7,LEFT,LEFT,3,2,0,6,-1.0,MOVE,0
4,44,3,2,0,6,DOWN,DOWN,4,2,0,5,-1.0,MOVE,0
4,45,4,2,0,5,LEFT,DOWN,5,2,0,4,-1.0,MOVE,0
4,46,5,2,0,4,UP,UP,4,2,0,3,-1.0,MOVE,0
4,47,4,2,0,3,RIGHT,RIGHT,4,3,0,2,-1.0,MOVE,0
4,48,4,3,0,2,DOWN,DOWN,5,3,0,1,-1.0,MOVE,0
4,49,5,3,0,1,UP,UP,4,3,0,0,-21.0,ENERGY_DEPLETED,1
149995,0,0,0,0,50,LEFT,DOWN,1,0,0,49,-1.0,MOVE,0
149995,1,1,0,0,49,RIGHT,UP,0,0,0,48,-1.0,MOVE,0
149995,2,0,0,0,48,RIGHT,DOWN,1,0,0,47,-1.0,MOVE,0
149995,3,1,0,0,47,RIGHT,RIGHT,1,1,0,46,-1.0,MOVE,0
149995,4,1,1,0,46,DOWN,DOWN,2,1,0,45,-1.0,MOVE,0
149995,5,2,1,0,45,RIGHT,RIGHT,2,2,0,44,-1.0,MOVE,0
149995,6,2,2,0,44,RIGHT,RIGHT,2,3,0,43,-1.0,MOVE,0
149995,7,2,3,0,43,UP,LEFT,2,2,0,42,-1.0,MOVE,0
149995,8,2,2,0,42,RIGHT,RIGHT,2,3,0,41,-1.0,MOVE,0
149995,9,2,3,0,41,UP,LEFT,2,2,0,40,-1.0,MOVE,0
149995,10,2,2,0,40,RIGHT,UP,2,2,0,39,-5.0,WALL_HIT,0
149995,11,2,2,0,39,DOWN,RIGHT,2,3,0,38,-1.0,MOVE,0
149995,12,2,3,0,38,DOWN,DOWN,3,3,0,37,-1.0,MOVE,0
149995,13,3,3,0,37,UP,UP,2,3,0,36,-1.0,MOVE,0
149995,14,2,3,0,36,UP,UP,1,3,0,35,-1.0,MOVE,0
149995,15,1,3,0,35,RIGHT,RIGHT,1,4,0,34,-1.0,MOVE,0
149995,16,1,4,0,34,RIGHT,RIGHT,1,5,0,33,-1.0,MOVE,0
149995,17,1,5,0,33,RIGHT,DOWN,1,5,0,32,-5.0,WALL_HIT,0
149995,18,1,5,0,32,UP,UP,0,5,0,31,-1.0,MOVE,0
149995,19,0,5,0,31,RIGHT,RIGHT,0,6,0,30,-1.0,MOVE,0
149995,20,0,6,0,30,RIGHT,RIGHT,0,7,0,29,-1.0,MOVE,0
149995,21,0,7,0,29,RIGHT,RIGHT,0,8,0,28,-1.0,MOVE,0
149995,22,0,8,0,28,UP,UP,0,8,0,27,-5.0,WALL_HIT,0
149995,23,0,8,0,27,RIGHT,DOWN,1,8,0,26,-1.0,MOVE,0
149995,24,1,8,0,26,UP,UP,0,8,0,25,-1.0,MOVE,0
149995,25,0,8,0,25,RIGHT,RIGHT,0,9,0,24,-1.0,MOVE,0
149995,26,0,9,0,24,RIGHT,RIGHT,0,10,1,23,49.0,KEY_PICKUP,0
149995,27,0,10,1,23,RIGHT,RIGHT,0,11,1,22,-1.0,MOVE,0
149995,28,0,11,1,22,DOWN,DOWN,1,11,1,21,-1.0,MOVE,0
149995,29,1,11,1,21,DOWN,RIGHT,1,12,1,20,-1.0,MOVE,0
149995,30,1,12,1,20,DOWN,DOWN,2,12,1,19,-1.0,MOVE,0
149995,31,2,12,1,19,DOWN,DOWN,3,12,1,18,-1.0,MOVE,0
149995,32,3,12,1,18,RIGHT,RIGHT,3,13,1,17,-1.0,MOVE,0
149995,33,3,13,1,17,DOWN,DOWN,4,13,1,16,-1.0,MOVE,0
149995,34,4,13,1,16,DOWN,DOWN,5,13,1,15,-1.0,MOVE,0
149995,35,5,13,1,15,DOWN,DOWN,6,13,1,14,-1.0,MOVE,0
149995,36,6,13,1,14,DOWN,DOWN,7,13,1,13,-1.0,MOVE,0
149995,37,7,13,1,13,DOWN,DOWN,8,13,1,12,-1.0,MOVE,0
149995,38,8,13,1,12,DOWN,DOWN,9,13,1,11,-1.0,MOVE,0
149995,39,9,13,1,11,DOWN,DOWN,10,13,1,10,-1.0,MOVE,0
149995,40,10,13,1,10,DOWN,DOWN,11,13,1,9,-1.0,MOVE,0
149995,41,11,13,1,9,DOWN,LEFT,11,12,1,8,-1.0,MOVE,0
149995,42,11,12,1,8,RIGHT,RIGHT,11,13,1,7,-1.0,MOVE,0
149995,43,11,13,1,7,DOWN,DOWN,12,13,1,6,-1.0,MOVE,0
149995,44,12,13,1,6,RIGHT,DOWN,12,13,1,5,-5.0,WALL_HIT,0
149995,45,12,13,1,5,RIGHT,RIGHT,12,14,1,4,-1.0,MOVE,0
149995,46,12,14,1,4,DOWN,DOWN,13,14,1,3,-1.0,DOOR_PASS,0
149995,47,13,14,1,3,DOWN,DOWN,14,14,1,2,99.0,GOAL_REACHED,1
149996,0,0,0,0,50,RIGHT,RIGHT,0,1,0,49,-1.0,MOVE,0
149996,1,0,1,0,49,RIGHT,UP,0,1,0,48,-5.0,WALL_HIT,0
149996,2,0,1,0,48,RIGHT,RIGHT,0,2,0,47,-1.0,MOVE,0
149996,3,0,2,0,47,RIGHT,DOWN,0,2,0,46,-5.0,WALL_HIT,0
149996,4,0,2,0,46,RIGHT,DOWN,0,2,0,45,-5.0,WALL_HIT,0
149996,5,0,2,0,45,RIGHT,RIGHT,0,3,0,44,-1.0,MOVE,0
149996,6,0,3,0,44,DOWN,DOWN,1,3,0,43,-1.0,MOVE,0
149996,7,1,3,0,43,RIGHT,RIGHT,1,4,0,42,-1.0,MOVE,0
149996,8,1,4,0,42,RIGHT,RIGHT,1,5,0,41,-1.0,MOVE,0
149996,9,1,5,0,41,RIGHT,RIGHT,1,6,0,40,-1.0,MOVE,0
149996,10,1,6,0,40,RIGHT,RIGHT,1,7,0,39,-1.0,MOVE,0
149996,11,1,7,0,39,RIGHT,RIGHT,1,8,0,38,-1.0,MOVE,0
149996,12,1,8,0,38,RIGHT,RIGHT,1,9,0,37,-1.0,MOVE,0
149996,13,1,9,0,37,UP,UP,0,9,0,36,-1.0,MOVE,0
149996,14,0,9,0,36,RIGHT,RIGHT,0,10,1,35,49.0,KEY_PICKUP,0
149996,15,0,10,1,35,DOWN,DOWN,1,10,1,34,-1.0,MOVE,0
149996,16,1,10,1,34,UP,UP,0,10,1,33,-1.0,MOVE,0
149996,17,0,10,1,33,DOWN,DOWN,1,10,1,32,-1.0,MOVE,0
149996,18,1,10,1,32,DOWN,DOWN,2,10,1,31,-1.0,MOVE,0
149996,19,2,10,1,31,DOWN,DOWN,3,10,1,30,-1.0,MOVE,0
149996,20,3,10,1,30,DOWN,DOWN,4,10,1,29,-1.0,MOVE,0
149996,21,4,10,1,29,DOWN,DOWN,5,10,1,28,-1.0,MOVE,0
149996,22,5,10,1,28,RIGHT,RIGHT,5,11,1,27,-1.0,MOVE,0
149996,23,5,11,1,27,UP,UP,4,11,1,26,-1.0,MOVE,0
149996,24,4,11,1,26,RIGHT,RIGHT,4,12,1,25,-1.0,MOVE,0
149996,25,4,12,1,25,RIGHT,RIGHT,4,13,1,24,-1.0,MOVE,0
